,county,sub-county,Age,Male,Female,Total
31604,NAIROBI,ALL,Total,2192452,2204376,4396828
31605,NAIROBI,ALL,0,57265,56523,113788
31606,NAIROBI,ALL,1,56019,54601,110620
31607,NAIROBI,ALL,2,52518,51848,104366
31608,NAIROBI,ALL,3,51115,51027,102142
31609,NAIROBI,ALL,4,47182,46889,94071
31610,NAIROBI,ALL,0 - 4,264099,260888,524987
31611,NAIROBI,ALL,5,45203,44711,89914
31612,NAIROBI,ALL,6,43635,44226,87861
31613,NAIROBI,ALL,7,43507,43655,87162
31614,NAIROBI,ALL,8,40916,41615,82531
31615,NAIROBI,ALL,9,41969,43275,85244
31616,NAIROBI,ALL,5-9,215230,217482,432712
31617,NAIROBI,ALL,10,40791,40892,81683
31618,NAIROBI,ALL,11,35581,37513,73094
31619,NAIROBI,ALL,12,37907,39622,77529
31620,NAIROBI,ALL,13,36701,39479,76180
31621,NAIROBI,ALL,14,34028,36036,70064
31622,NAIROBI,ALL,10 -14,185008,193542,378550
31623,NAIROBI,ALL,15,30919,35136,66055
31624,NAIROBI,ALL,16,30408,35599,66007
31625,NAIROBI,ALL,17,32413,37865,70278
31626,NAIROBI,ALL,18,29102,36415,65517
31627,NAIROBI,ALL,19,36256,47740,83996
31628,NAIROBI,ALL,15-19,159098,192755,351853
31629,NAIROBI,ALL,20,39853,55625,95478
31630,NAIROBI,ALL,21,45052,57938,102990
31631,NAIROBI,ALL,22,49186,62338,111524
31632,NAIROBI,ALL,23,57179,70152,127331
31633,NAIROBI,ALL,24,58264,67432,125696
31634,NAIROBI,ALL,20-24,249534,313485,563019
31635,NAIROBI,ALL,25,63693,69680,133373
31636,NAIROBI,ALL,26,56174,62288,118462
31637,NAIROBI,ALL,27,57764,60383,118147
31638,NAIROBI,ALL,28,50792,53563,104355
31639,NAIROBI,ALL,29,54280,54931,109211
31640,NAIROBI,ALL,25-29,282703,300845,583548
31641,NAIROBI,ALL,30,64070,65757,129827
31642,NAIROBI,ALL,31,44601,42537,87138
31643,NAIROBI,ALL,32,56015,54958,110973
31644,NAIROBI,ALL,33,43556,42761,86317
31645,NAIROBI,ALL,34,41234,39981,81215
31646,NAIROBI,ALL,30-34,249476,245994,495470
31647,NAIROBI,ALL,35,49053,44052,93105
31648,NAIROBI,ALL,36,35610,33131,68741
31649,NAIROBI,ALL,37,34835,30671,65506
31650,NAIROBI,ALL,38,30710,28604,59314
31651,NAIROBI,ALL,39,31593,27537,59130
31652,NAIROBI,ALL,35-39,181801,163995,345796
31653,NAIROBI,ALL,40,37229,30970,68199
31654,NAIROBI,ALL,41,29619,23693,53312
31655,NAIROBI,ALL,42,28657,22977,51634
31656,NAIROBI,ALL,43,24278,19898,44176
31657,NAIROBI,ALL,44,19495,16346,35841
31658,NAIROBI,ALL,40-44,139278,113884,253162
31659,NAIROBI,ALL,45,28137,21111,49248
31660,NAIROBI,ALL,46,19749,14969,34718
31661,NAIROBI,ALL,47,20398,14741,35139
31662,NAIROBI,ALL,48,15447,11472,26919
31663,NAIROBI,ALL,49,16988,11920,28908
31664,NAIROBI,ALL,45-49,100719,74213,174932
31665,NAIROBI,ALL,50,18699,14032,32731
31666,NAIROBI,ALL,51,12961,9112,22073
31667,NAIROBI,ALL,52,13381,9179,22560
31668,NAIROBI,ALL,53,9905,7611,17516
31669,NAIROBI,ALL,54,11271,7798,19069
31670,NAIROBI,ALL,50-54,66217,47732,113949
31671,NAIROBI,ALL,55,10869,7263,18132
31672,NAIROBI,ALL,56,10179,7370,17549
31673,NAIROBI,ALL,57,8966,6677,15643
31674,NAIROBI,ALL,58,7164,5147,12311
31675,NAIROBI,ALL,59,7561,5405,12966
31676,NAIROBI,ALL,55-59,44739,31862,76601
31677,NAIROBI,ALL,60,7694,6148,13842
31678,NAIROBI,ALL,61,5197,3948,9145
31679,NAIROBI,ALL,62,4853,3447,8300
31680,NAIROBI,ALL,63,4051,3103,7154
31681,NAIROBI,ALL,64,3106,2437,5543
31682,NAIROBI,ALL,60-64,24901,19083,43984
31683,NAIROBI,ALL,65,3992,3256,7248
31684,NAIROBI,ALL,66,2591,2191,4782
31685,NAIROBI,ALL,67,3553,2762,6315
31686,NAIROBI,ALL,68,1914,1612,3526
31687,NAIROBI,ALL,69,2408,2104,4512
31688,NAIROBI,ALL,65-69,14458,11925,26383
31689,NAIROBI,ALL,70,2676,2653,5329
31690,NAIROBI,ALL,71,1797,1541,3338
31691,NAIROBI,ALL,72,1672,1376,3048
31692,NAIROBI,ALL,73,1295,1119,2414
31693,NAIROBI,ALL,74,1129,1096,2225
31694,NAIROBI,ALL,70-74,8569,7785,16354
31695,NAIROBI,ALL,75,909,1084,1993
31696,NAIROBI,ALL,76,849,947,1796
31697,NAIROBI,ALL,77,682,763,1445
31698,NAIROBI,ALL,78,505,516,1021
31699,NAIROBI,ALL,79,530,652,1182
31700,NAIROBI,ALL,75-79,3475,3962,7437
31701,NAIROBI,ALL,80,603,917,1520
31702,NAIROBI,ALL,81,302,432,734
31703,NAIROBI,ALL,82,341,408,749
31704,NAIROBI,ALL,83,335,388,723
31705,NAIROBI,ALL,84,275,384,659
31706,NAIROBI,ALL,80-84,1856,2529,4385
31707,NAIROBI,ALL,85,243,335,578
31708,NAIROBI,ALL,86,172,268,440
31709,NAIROBI,ALL,87,155,270,425
31710,NAIROBI,ALL,88,111,132,243
31711,NAIROBI,ALL,89,116,248,364
31712,NAIROBI,ALL,85-89,797,1253,2050
31713,NAIROBI,ALL,90,89,218,307
31714,NAIROBI,ALL,91,65,135,200
31715,NAIROBI,ALL,92,47,98,145
31716,NAIROBI,ALL,93,39,75,114
31717,NAIROBI,ALL,94,30,77,107
31718,NAIROBI,ALL,90-94,270,603,873
31719,NAIROBI,ALL,95,32,108,140
31720,NAIROBI,ALL,96,29,65,94
31721,NAIROBI,ALL,97,22,46,68
31722,NAIROBI,ALL,98,16,34,50
31723,NAIROBI,ALL,99,16,66,82
31724,NAIROBI,ALL,95-99,115,319,434
31725,NAIROBI,ALL,100+,35,171,206
31726,NAIROBI,ALL,Not Stated,74,69,143
31727,NAIROBI,DAGORETTI,Total,217651,216526,434177
31728,NAIROBI,DAGORETTI,0,6004,5820,11824
31729,NAIROBI,DAGORETTI,1,5785,5715,11500
31730,NAIROBI,DAGORETTI,2,5241,5462,10703
31731,NAIROBI,DAGORETTI,3,5172,5285,10457
31732,NAIROBI,DAGORETTI,4,4814,4691,9505
31733,NAIROBI,DAGORETTI,0 - 4,27016,26973,53989
31734,NAIROBI,DAGORETTI,5,4395,4548,8943
31735,NAIROBI,DAGORETTI,6,4367,4531,8898
31736,NAIROBI,DAGORETTI,7,4465,4340,8805
31737,NAIROBI,DAGORETTI,8,4112,4220,8332
31738,NAIROBI,DAGORETTI,9,4186,4392,8578
31739,NAIROBI,DAGORETTI,5-9,21525,22031,43556
31740,NAIROBI,DAGORETTI,10,4070,4185,8255
31741,NAIROBI,DAGORETTI,11,3528,3671,7199
31742,NAIROBI,DAGORETTI,12,3791,4076,7867
