,county,sub-county,Age,Male,Female,Total
0,NAIROBI,ALL,0 - 4,264099,260888,524987
1,NAIROBI,ALL,5-9,215230,217482,432712
2,NAIROBI,ALL,10 -14,185008,193542,378550
3,NAIROBI,ALL,15-19,159098,192755,351853
4,NAIROBI,ALL,20-24,249534,313485,563019
5,NAIROBI,ALL,25-29,282703,300845,583548
6,NAIROBI,ALL,30-34,249476,245994,495470
7,NAIROBI,ALL,35-39,181801,163995,345796
8,NAIROBI,ALL,40-44,139278,113884,253162
9,NAIROBI,ALL,45-49,100719,74213,174932
10,NAIROBI,ALL,50-54,66217,47732,113949
11,NAIROBI,ALL,55-59,44739,31862,76601
12,NAIROBI,ALL,60-64,24901,19083,43984
13,NAIROBI,ALL,65-69,14458,11925,26383
14,NAIROBI,ALL,70-74,8569,7785,16354
15,NAIROBI,ALL,75-79,3475,3962,7437
16,NAIROBI,ALL,80-84,1856,2529,4385
17,NAIROBI,ALL,85-89,797,1253,2050
18,NAIROBI,ALL,90-94,270,603,873
19,NAIROBI,ALL,95-99,115,319,434
20,NAIROBI,ALL,100+,35,171,206
